CustomerID,Gender,RP,VP,TP,LP,CP,OP,BP,VDP,MCT,MM,MFPM,AME,TotalExpenditure,MFPS
1,Female,Yes,Yes,No,Yes,No,Yes,Yes,No,Annualcard ,9,ManualTransfer,65.6,593.3,No
2,Male,No,No,No,No,No,No,No,Yes,Monthcard,9,ManualTransfer,59.9,542.4,No
3,Male,No,No,No,No,Yes,No,No,No,Monthcard,4,CashPayment,73.9,280.85,Yes
4,Male,Yes,No,No,Yes,Yes,No,Yes,Yes,Monthcard,13,CashPayment,98,1237.85,Yes
5,Female,No,Yes,No,No,No,Yes,Yes,Yes,Monthcard,9,InstallmentPayment,69.4,571.45,No
6,Female,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,71,Auto-debit,109.7,7904.25,No
7,Female,Yes,No,No,No,No,Yes,Yes,No,Monthcard,3,ManualTransfer,83.9,267.4,Yes
8,Male,Yes,No,Yes,No,No,Yes,No,No,Biennialcard,63,InstallmentPayment,84.65,5377.8,No
9,Female,No,No,Yes,No,No,No,No,No,Monthcard,7,CashPayment,48.2,340.35,No
10,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,65,ManualTransfer,90.45,5957.9,No
11,Male,No,No,Yes,No,No,Yes,Yes,No,Biennialcard,54,InstallmentPayment,45.2,2460.55,No
12,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,InstallmentPayment,116.8,8456.75,No
13,Female,Yes,No,No,No,No,No,No,No,Monthcard,5,CashPayment,68.95,351.5,No
14,Female,No,No,Yes,Yes,Yes,No,Yes,No,Biennialcard,72,Auto-debit,101.3,7261.25,No
15,Female,No,No,Yes,Yes,Yes,Yes,No,No,Biennialcard,56,Auto-debit,45.05,2560.1,No
16,Female,Yes,Yes,No,Yes,Yes,No,No,Yes,Biennialcard,71,InstallmentPayment,95.75,6849.4,No
17,Female,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Annualcard ,34,ManualTransfer,61.25,1993.2,No
18,Female,No,No,No,No,No,No,No,No,Monthcard,1,CashPayment,72.1,72.1,No
19,Male,No,No,Yes,No,Yes,No,No,Yes,Annualcard ,45,InstallmentPayment,62.7,2791.5,Yes
20,Female,Yes,No,No ,No ,No ,No ,No ,No ,Annualcard ,50,CashPayment,25.2,1306.3,No
21,Male,No,No,No,No,No,No,No,No,Monthcard,1,CashPayment,25.1,25.1,Yes
22,Female,Yes,No,No,Yes,Yes,No,Yes,No,Monthcard,13,CashPayment,94.1,1215.6,Yes
23,Female,Yes,Yes,No,No,No,No,Yes,No,Monthcard,23,CashPayment,83.75,1849.95,No
24,Female,No,No,No ,No ,No ,No ,No ,No ,Monthcard,3,ManualTransfer,19.85,57.2,No
25,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Monthcard,4,ManualTransfer,20.35,76.35,Yes
26,Female,Yes,Yes,Yes,No,No,No,No,No,Monthcard,1,Auto-debit,30.5,30.5,Yes
27,Female,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Annualcard ,55,Auto-debit,103.7,5656.75,No
28,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,54,InstallmentPayment,20.4,1090.6,No
29,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,69,Auto-debit,19.7,1396.9,No
30,Male,No,No,No ,No ,No ,No ,No ,No ,Annualcard ,26,Auto-debit,19.6,471.85,No
31,Male,Yes,Yes,No,No,No,No,Yes,Yes,Annualcard ,37,InstallmentPayment,91.2,3247.55,No
32,Female,Yes,No,No ,No ,No ,No ,No ,No ,Annualcard ,49,Auto-debit,20.45,900.9,No
33,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Annualcard ,66,Auto-debit,115.8,7942.15,No
34,Female,No,No,No ,No ,No ,No ,No ,No ,Annualcard ,67,CashPayment,20.55,1343.4,No
35,Male,Yes,Yes,Yes,No,Yes,Yes,No,No,Biennialcard,20,InstallmentPayment,39.4,825.4,No
36,Female,No,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,43,CashPayment,25.1,1070.15,No
37,Female,Yes,No,Yes,No,No,No,Yes,No,Monthcard,55,Auto-debit,89.8,4959.6,No
38,Female,Yes,No,Yes,Yes,No,No,Yes,No,Monthcard,59,CashPayment,94.75,5597.65,No
39,Male,Yes,Yes,No,No,No,No,No,No,Monthcard,27,Auto-debit,75.75,1929,No
40,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,12,Auto-debit,20.3,224.5,No
41,Male,No,No,Yes,No,No,No,No,No,Monthcard,2,CashPayment,49.25,91.1,Yes
42,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Annualcard ,27,ManualTransfer,78.2,2078.95,No
43,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,25,InstallmentPayment,25.5,630.6,No
44,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,Annualcard ,25,Auto-debit,61.6,1611,No
45,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,Monthcard,29,ManualTransfer,45,1242.45,No
46,Male,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,Auto-debit,85.15,6316.2,No
47,Female,No,No,No,No,Yes,Yes,Yes,Yes,Annualcard ,35,CashPayment,99.25,3532,No
48,Female,No,No,No,Yes,No,No,No,No,Annualcard ,14,InstallmentPayment,51.45,727.85,No
49,Male,No,No,No,No,No,Yes,Yes,Yes,Monthcard,29,CashPayment,94.2,2607.6,No
50,Male,No,No,No,No,No,No,No,No,Monthcard,1,ManualTransfer,44.3,44.3,No
51,Male,No,No,Yes,Yes,Yes,Yes,Yes,No,Annualcard ,64,CashPayment,81.25,5567.55,No
52,Female,Yes,Yes,No,No,No,Yes,Yes,Yes,Monthcard,39,InstallmentPayment,99.95,3767.4,No
53,Female,No,No,No,No,No,No,Yes,Yes,Monthcard,40,CashPayment,91.55,3673.6,No
54,Male,No,No,No,Yes,Yes,No,Yes,Yes,Monthcard,40,InstallmentPayment,104.5,4036.85,Yes
55,Female,No,No,No,Yes,No,No,Yes,Yes,Monthcard,11,CashPayment,95,1120.3,Yes
56,Male,No,No,Yes,No,No,No,No,Yes,Monthcard,30,ManualTransfer,64.5,1888.45,No
57,Female,Yes,No,No,No,No,No,No,No,Monthcard,6,CashPayment,50.35,314.55,No
58,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,27,CashPayment,19.4,529.8,No
59,Male,Yes,No,No,Yes,Yes,No,Yes,Yes,Annualcard ,70,CashPayment,104.8,7308.95,No
60,Female,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Annualcard ,57,Auto-debit,109.4,6252.7,No
61,Male,Yes,No,No,No,Yes,No,No,No,Annualcard ,58,InstallmentPayment,50.3,2878.55,No
62,Male,No,No,No,Yes,Yes,No,No,Yes,Monthcard,16,Auto-debit,71.4,1212.1,No
63,Female,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,69,CashPayment,116,8182.85,No
64,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,1,CashPayment,19.85,19.85,Yes
65,Male,No,Yes,No,No,Yes,No,Yes,Yes,Monthcard,1,CashPayment,99.75,99.75,Yes
66,Male,Yes,Yes,No,Yes,No,No,Yes,Yes,Monthcard,32,ManualTransfer,93.95,2861.45,No
67,Male,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Annualcard ,49,CashPayment,84.35,4059.35,Yes
68,Male,Yes,Yes,No,No,Yes,No,Yes,No,Monthcard,16,Auto-debit,90.8,1442.2,No
